Municipio,Provincia,Lugar,Dirección,Fecha,Hora,Ojo,Latitud,Longitud,Convoca,Marca en porceuta.es,Notas,Estado,Fuente
A Coruña,A Coruña,Plaza de María Pita,"Plaza de María Pita, A Coruña, 15001",2026-09-02,20:00,,"43,3710378","-8,395942",,Confirmada,Recogido de prensa (El Diario de Madrid),Publicada,Ambas
Ferrol,A Coruña,Plaza de Armas,Plaza de Armas,2026-09-02,20:00,,"43,484484","-8,232876",,Sin confirmar,El punto del mapa es aproximado.,Publicada,Ambas
Pontedeume,A Coruña,Plaza Real,,2026-09-02,,SIN HORA,"43,4007283","-8,1497914",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Santiago de Compostela,A Coruña,Praza do Obradoiro,"Praza do Obradoiro, Santiago de Compostela, 15705",2026-09-02,20:00,,"42,8805003","-8,54576",,Sin confirmar,Recogido de prensa (El Diario de Madrid),Publicada,Ambas
Vitoria-Gasteiz,Álava,"Plaza de España, frente al Ayuntamiento",,2026-09-02,20:00,,"42,846","-2,672",PP de Vitoria-Gasteiz,Confirmada,,Solo en porceuta.es,porceuta.es
Albacete,Albacete,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, Albacete, 02005",2026-09-02,20:00,,"38,9961404","-1,8556734",,Confirmada,,Publicada,Ambas
Caudete,Albacete,Plaza de la Iglesia,,2026-09-02,20:00,,"38,703419","-0,989048",Alcalde José Miguel Mollá / Ayuntamiento de Caudete,Difundida,https://www.caudete.org/ayuntamiento/concentracion-en-defensa-de-ceuta-y-espana/,Solo en porceuta.es,porceuta.es
Hellín,Albacete,Plaza de la Iglesia,"Plaza de la Iglesia, Hellín",2026-09-02,20:00,,"38,5120521","-1,7025267",Ayuntamiento de Hellín,Difundida,Hellín con Ceuta,Publicada,Ambas
Villarrobledo,Albacete,Plaza de Ramón y Cajal,,2026-09-02,20:00,,"39,2681742","-2,6042132",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Albatera,Alicante,Plaza de España,Plaza de España,2026-09-02,20:00,,"38,17909","-0,86911",Ayuntamiento de Albatera / FEMP,Difundida,Convocatoria confirmada y detectada en los barridos del 26-27/08/2026; ausente del CSV base de 204 registros.,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Alcoy,Alicante,Plaza España,,2026-09-02,20:00,,"38,6982348","-0,4747619",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Alicante,Alicante,Plaza de los Luceros,"Plaza de los Luceros, Alicante",2026-09-02,20:00,,"38,3460097","-0,4906781",,,Otras fuentes sitúan la concentración en Plaza de la Montañeta (fuentes discrepan). Recogido de prensa (El Diario de Madrid),Publicada,Listado oficial
Alicante,Alicante,Plaza del Ayuntamiento,,2026-09-02,20:00,,"38,3452","-0,481",Ayuntamiento de Alicante,Difundida,Alicante con Ceuta,Solo en porceuta.es,porceuta.es
Almoradí,Alicante,Plaza de la Constitución,Plaza de la Constitución,2026-09-02,20:00,,"38,1087","-0,7917",Ayuntamiento de Almoradí,Difundida,,Publicada,Ambas
Aspe,Alicante,Plaza Mayor,,2026-09-02,20:00,,"38,3460834","-0,7692034",Ayuntamiento de Aspe,Difundida,"💙 ASPE SOLIDARIO CON CEUTA El Ayuntamiento de Aspe se suma a la concentración convocada por la Federación Española de Municipios y Provincias (FEMP) en apoyo a Ceuta. 📅 Miércoles, 2 de septiembre 🕗 20:00 h 📍 Plaza Mayor Participa en esta concentración y mostremos juntos la solidaridad de Aspe. 🤝",Solo en porceuta.es,porceuta.es
Benejúzar,Alicante,Ayuntamiento,Ayuntamiento,2026-09-02,20:00,,"38,077618","-0,837885",,Sin confirmar,,Publicada,Ambas
Benidorm,Alicante,Plaza de SS. MM. Reyes de España,"Plaza de SS. MM. Reyes de España, 03501",2026-09-02,20:00,,"38,5411","-0,1225",Ayuntamiento de Benidorm,Difundida,,Publicada,Ambas
Bigastro,Alicante,Plaza de la Constitución,"Plaza de la Constitución, 03380",2026-09-02,20:00,,"38,063027","-0,895525",,Sin confirmar,,Publicada,Ambas
Callosa d'en Sarrià,Alicante,Plaza del Ayuntamiento,Plaza del Ayuntamiento,2026-09-02,20:00,,"38,651389","-0,122527",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Callosa de Segura,Alicante,Plaza de España,Plaza de España,2026-09-02,20:00,,"38,124","-0,8787",Ayuntamiento de Callosa de Segura,Difundida,,Publicada,Ambas
Calp,Alicante,Plaza Miguel Roselló,Plaza Miguel Roselló,2026-09-02,20:00,,"38,6447","0,0445",Ayuntamiento de Calp,Difundida,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Castalla,Alicante,Ajuntament de Castalla,Ajuntament de Castalla,2026-09-02,20:00,,"38,595191","-0,672241",,Sin confirmar,,Publicada,Ambas
